id,tgl,jenis_kendaraan,status_payment
-,-,-,-
635a9b2f-79ed-42f7-9dd7-ec5cf36eb4ea,2022-12-02 14:06:13.495043,mobil,settlement
ce8e1fd6-a17c-46a9-b631-18f4c55ecaa5,2022-12-02 14:10:10.752764,mobil,settlement
7d886e9b-0756-46b6-ac91-cba3d891a189,2023-02-16 11:24:05.921269,mobil,settlement
934b84b3-00aa-4317-9beb-3f732d4370cb,2023-02-16 11:32:23.396477,mobil,-
9af412c1-c6c6-4c7e-8b37-07aa97330418,2023-02-16 11:52:38.063053,mobil,-
9a41bdba-3c2f-4e7f-b157-ec72a1fb7061,2023-02-28 15:22:11.297051,mobil,-
